Date,DayName,StartOfWeek,StartOfMonth,StartOfQuarter,MonthName,MonthNumber,StartOfYear,Year
2020-01-01,Wednesday,2019-12-30,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-02,Thursday,2019-12-30,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-03,Friday,2019-12-30,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-04,Saturday,2019-12-30,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-05,Sunday,2019-12-30,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-06,Monday,2020-01-06,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-07,Tuesday,2020-01-06,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-08,Wednesday,2020-01-06,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-09,Thursday,2020-01-06,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-10,Friday,2020-01-06,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-11,Saturday,2020-01-06,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-12,Sunday,2020-01-06,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-13,Monday,2020-01-13,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-14,Tuesday,2020-01-13,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-15,Wednesday,2020-01-13,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-16,Thursday,2020-01-13,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-17,Friday,2020-01-13,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-18,Saturday,2020-01-13,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-19,Sunday,2020-01-13,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-20,Monday,2020-01-20,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-21,Tuesday,2020-01-20,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-22,Wednesday,2020-01-20,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-23,Thursday,2020-01-20,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-24,Friday,2020-01-20,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-25,Saturday,2020-01-20,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-26,Sunday,2020-01-20,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-27,Monday,2020-01-27,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-28,Tuesday,2020-01-27,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-29,Wednesday,2020-01-27,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-30,Thursday,2020-01-27,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-01-31,Friday,2020-01-27,2020-01-01,2020-01-01,January,1,2020-01-01,2020
2020-02-01,Saturday,2020-01-27,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-02,Sunday,2020-01-27,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-03,Monday,2020-02-03,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-04,Tuesday,2020-02-03,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-05,Wednesday,2020-02-03,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-06,Thursday,2020-02-03,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-07,Friday,2020-02-03,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-08,Saturday,2020-02-03,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-09,Sunday,2020-02-03,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-10,Monday,2020-02-10,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-11,Tuesday,2020-02-10,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-12,Wednesday,2020-02-10,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-13,Thursday,2020-02-10,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-14,Friday,2020-02-10,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-15,Saturday,2020-02-10,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-16,Sunday,2020-02-10,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-17,Monday,2020-02-17,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-18,Tuesday,2020-02-17,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-19,Wednesday,2020-02-17,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-20,Thursday,2020-02-17,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-21,Friday,2020-02-17,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-22,Saturday,2020-02-17,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-23,Sunday,2020-02-17,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-24,Monday,2020-02-24,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-25,Tuesday,2020-02-24,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-26,Wednesday,2020-02-24,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-27,Thursday,2020-02-24,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-28,Friday,2020-02-24,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-02-29,Saturday,2020-02-24,2020-02-01,2020-01-01,February,2,2020-01-01,2020
2020-03-01,Sunday,2020-02-24,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-02,Monday,2020-03-02,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-03,Tuesday,2020-03-02,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-04,Wednesday,2020-03-02,2020-03-01,2020-01-01,March,3,2020-01-01,2020
2020-03-05,Thursday,2020-03-02,2020-03-01,2020-01-01,March,3,2020-01-01,2020
